id,name,line_id,prefecture_id
628,奥内,25,2
629,左堰,25,2
630,後潟,25,2
631,中沢,25,2
632,蓬田,25,2
633,郷沢,25,2
634,瀬辺地,25,2
635,蟹田,25,2
636,中小国,25,2
637,大平,25,2
638,津軽二股,25,2
639,大川平,25,2
640,今別,25,2
641,津軽浜名,25,2
642,三厩,25,2
643,八戸,26,2
644,長苗代,26,2
645,本八戸,26,2
646,小中野,26,2
647,陸奥湊,26,2
648,白銀,26,2
649,鮫,26,2
650,プレイピア白浜,26,2
651,陸奥白浜,26,2
652,種差海岸,26,2
653,大久喜,26,2
654,金浜,26,2
655,大蛇,26,2
656,階上,26,2
657,角の浜,26,3
658,平内,26,3
659,種市,26,3
660,玉川,26,3
661,宿戸,26,3
662,陸中八木,26,3
663,有家,26,3
664,陸中中野,26,3
665,侍浜,26,3
666,陸中夏井,26,3
667,久慈,26,3
668,茂市,27,3
669,岩手刈屋,27,3
670,中里,27,3
671,岩手和井内,27,3
672,押角,27,3
673,岩手大川,27,3
674,浅内,27,3
675,二升石,27,3
676,岩泉,27,3
677,一ノ関,28,3
678,真滝,28,3
679,陸中門崎,28,3
680,岩ノ下,28,3
681,陸中松川,28,3
682,猊鼻渓,28,3
683,柴宿,28,3
684,摺沢,28,3
685,千厩,28,3
686,小梨,28,3
687,矢越,28,3
688,折壁,28,3
689,新月,28,3
690,気仙沼,28,4
691,鹿折唐桑,28,4
692,上鹿折,28,4
693,陸前矢作,28,3
694,竹駒,28,3
695,陸前高田,28,3
696,脇ノ沢,28,3
697,小友,28,3
698,細浦,28,3
699,下船渡,28,3
700,大船渡,28,3
701,盛,28,3
702,花巻,29,3
703,似内,29,3
704,新花巻,29,3
705,小山田,29,3
706,土沢,29,3
707,晴山,29,3
708,岩根橋,29,3
709,宮守,29,3
710,柏木平,29,3
711,鱒沢,29,3
712,荒谷前,29,3
713,岩手二日町,29,3
714,綾織,29,3
715,遠野,29,3
716,青笹,29,3
717,岩手上郷,29,3
718,平倉,29,3
719,足ケ瀬,29,3
720,上有住,29,3
721,陸中大橋,29,3
722,洞泉,29,3
723,松倉,29,3
724,小佐野,29,3
725,釜石,29,3
726,北上,30,3
727,柳原,30,3
728,江釣子,30,3
729,藤根,30,3
730,立川目,30,3
731,横川目,30,3
732,岩沢,30,3
733,和賀仙人,30,3
734,ゆだ錦秋湖,30,3
735,ほっとゆだ,30,3
736,ゆだ高原,30,3
737,黒沢,30,5
738,小松川,30,5
739,平石,30,5
740,相野々,30,5
741,矢美津,30,5
742,横手,30,5
743,盛岡,31,3
744,前潟,31,3
745,大釜,31,3
746,小岩井,31,3
